item_id,subject,domain,correct_answer,model,parsed_answer,raw_output_snippet
abstract_algebra_0,abstract_algebra,STEM,B,qwen/qwen3-32b,D,"<think>

</think>

D"
abstract_algebra_1,abstract_algebra,STEM,A,qwen/qwen3-32b,B,"<think>

</think>

B"
anatomy_5,anatomy,STEM,B,qwen/qwen3-32b,C,"<think>

</think>

C"
college_chemistry_21,college_chemistry,STEM,D,qwen/qwen3-32b,B,"<think>
</think>

B"
college_computer_science_27,college_computer_science,STEM,C,qwen/qwen3-32b,B,"<think>

</think>

B"
college_mathematics_32,college_mathematics,STEM,C,qwen/qwen3-32b,D,"<think>

</think>

D"
college_mathematics_33,college_mathematics,STEM,A,qwen/qwen3-32b,C,"<think>

</think>

C"
college_physics_35,college_physics,STEM,B,qwen/qwen3-32b,A,"<think>

</think>

A"
college_physics_39,college_physics,STEM,A,qwen/qwen3-32b,D,"<think>

</think>

D"
electrical_engineering_45,electrical_engineering,STEM,A,qwen/qwen3-32b,C,"<think>

</think>

C"
elementary_mathematics_50,elementary_mathematics,STEM,B,qwen/qwen3-32b,A,"<think>

</think>

A"
formal_logic_56,formal_logic,STEM,D,qwen/qwen3-32b,A,"<think>

</think>

A"
high_school_chemistry_67,high_school_chemistry,STEM,A,qwen/qwen3-32b,C,"<think>

</think>

C"
high_school_mathematics_71,high_school_mathematics,STEM,D,qwen/qwen3-32b,C,"<think>

</think>

C"
high_school_mathematics_73,high_school_mathematics,STEM,C,qwen/qwen3-32b,B,"<think>

</think>

B"
high_school_physics_77,high_school_physics,STEM,A,qwen/qwen3-32b,B,"<think>

</think>

B"
high_school_physics_79,high_school_physics,STEM,A,qwen/qwen3-32b,C,"<think>

</think>

C"
machine_learning_83,machine_learning,STEM,C,qwen/qwen3-32b,A,"<think>

</think>

A"
philosophy_85,philosophy,Humanities,D,qwen/qwen3-32b,A,"<think>
</think>

A"
professional_law_92,professional_law,Social Science,D,qwen/qwen3-32b,A,"<think>

</think>

A"
professional_law_93,professional_law,Social Science,D,qwen/qwen3-32b,A,"<think>

</think>

A"
professional_psychology_101,professional_psychology,Social Science,A,qwen/qwen3-32b,D,"<think>
Okay, let's see. The question is about a psychologist whose patient has admitted to sexually molesting a child, and the patient has a prior history of such behavior. The psychologist needs to decide what to do.

First, I remember that in psychology, there's the duty to warn and protect, especially in cases where there's a risk of harm to others. But also, there are legal obligations when it comes to child abuse. In many jurisdictions, child abuse is a mandatory report. So even though con"
world_religions_107,world_religions,Humanities,D,qwen/qwen3-32b,A,"<think>
</think>

A"
abstract_algebra_0,abstract_algebra,STEM,B,llama-3.1-8b-instant,A,A
abstract_algebra_2,abstract_algebra,STEM,B,llama-3.1-8b-instant,A,A
abstract_algebra_4,abstract_algebra,STEM,C,llama-3.1-8b-instant,A,A
anatomy_5,anatomy,STEM,B,llama-3.1-8b-instant,A,A
astronomy_10,astronomy,STEM,B,llama-3.1-8b-instant,A,A
astronomy_11,astronomy,STEM,D,llama-3.1-8b-instant,A,A
astronomy_14,astronomy,STEM,C,llama-3.1-8b-instant,A,A
college_biology_18,college_biology,STEM,C,llama-3.1-8b-instant,A,A
college_biology_19,college_biology,STEM,B,llama-3.1-8b-instant,A,A
college_chemistry_20,college_chemistry,STEM,B,llama-3.1-8b-instant,A,A
college_chemistry_21,college_chemistry,STEM,D,llama-3.1-8b-instant,A,A
college_chemistry_23,college_chemistry,STEM,D,llama-3.1-8b-instant,A,A
college_chemistry_24,college_chemistry,STEM,D,llama-3.1-8b-instant,A,A
college_computer_science_25,college_computer_science,STEM,A,llama-3.1-8b-instant,D,D
college_computer_science_26,college_computer_science,STEM,D,llama-3.1-8b-instant,A,A
college_computer_science_27,college_computer_science,STEM,C,llama-3.1-8b-instant,B,B
college_computer_science_29,college_computer_science,STEM,C,llama-3.1-8b-instant,A,A
college_mathematics_30,college_mathematics,STEM,D,llama-3.1-8b-instant,A,A
college_mathematics_32,college_mathematics,STEM,C,llama-3.1-8b-instant,A,A
college_mathematics_34,college_mathematics,STEM,D,llama-3.1-8b-instant,A,A
college_physics_35,college_physics,STEM,B,llama-3.1-8b-instant,A,A
college_physics_36,college_physics,STEM,D,llama-3.1-8b-instant,A,A
college_physics_38,college_physics,STEM,D,llama-3.1-8b-instant,A,A
conceptual_physics_40,conceptual_physics,STEM,B,llama-3.1-8b-instant,A,A
conceptual_physics_41,conceptual_physics,STEM,B,llama-3.1-8b-instant,A,A
conceptual_physics_44,conceptual_physics,STEM,A,llama-3.1-8b-instant,C,C
elementary_mathematics_50,elementary_mathematics,STEM,B,llama-3.1-8b-instant,A,A
elementary_mathematics_53,elementary_mathematics,STEM,D,llama-3.1-8b-instant,A,A
elementary_mathematics_54,elementary_mathematics,STEM,C,llama-3.1-8b-instant,B,B
formal_logic_56,formal_logic,STEM,D,llama-3.1-8b-instant,A,A
formal_logic_57,formal_logic,STEM,D,llama-3.1-8b-instant,A,A
formal_logic_58,formal_logic,STEM,C,llama-3.1-8b-instant,A,A
formal_logic_59,formal_logic,STEM,B,llama-3.1-8b-instant,A,A
high_school_chemistry_65,high_school_chemistry,STEM,D,llama-3.1-8b-instant,A,A
high_school_chemistry_66,high_school_chemistry,STEM,C,llama-3.1-8b-instant,A,A
high_school_chemistry_68,high_school_chemistry,STEM,D,llama-3.1-8b-instant,A,A
high_school_chemistry_69,high_school_chemistry,STEM,C,llama-3.1-8b-instant,A,A
high_school_mathematics_70,high_school_mathematics,STEM,B,llama-3.1-8b-instant,A,A
high_school_mathematics_71,high_school_mathematics,STEM,D,llama-3.1-8b-instant,A,A
high_school_mathematics_72,high_school_mathematics,STEM,C,llama-3.1-8b-instant,A,A
high_school_mathematics_73,high_school_mathematics,STEM,C,llama-3.1-8b-instant,A,A
high_school_mathematics_74,high_school_mathematics,STEM,D,llama-3.1-8b-instant,A,A
high_school_physics_75,high_school_physics,STEM,D,llama-3.1-8b-instant,A,A
high_school_physics_76,high_school_physics,STEM,B,llama-3.1-8b-instant,A,A
high_school_physics_78,high_school_physics,STEM,C,llama-3.1-8b-instant,A,A
machine_learning_80,machine_learning,STEM,B,llama-3.1-8b-instant,A,A
machine_learning_82,machine_learning,STEM,C,llama-3.1-8b-instant,D,D
machine_learning_83,machine_learning,STEM,C,llama-3.1-8b-instant,A,A
machine_learning_84,machine_learning,STEM,C,llama-3.1-8b-instant,A,A
philosophy_85,philosophy,Humanities,D,llama-3.1-8b-instant,A,A
philosophy_88,philosophy,Humanities,D,llama-3.1-8b-instant,A,A
philosophy_89,philosophy,Humanities,D,llama-3.1-8b-instant,A,A
professional_law_91,professional_law,Social Science,B,llama-3.1-8b-instant,A,A
professional_law_92,professional_law,Social Science,D,llama-3.1-8b-instant,A,A
professional_law_93,professional_law,Social Science,D,llama-3.1-8b-instant,A,A
professional_law_94,professional_law,Social Science,C,llama-3.1-8b-instant,A,A
professional_medicine_95,professional_medicine,Social Science,D,llama-3.1-8b-instant,A,A
professional_medicine_97,professional_medicine,Social Science,C,llama-3.1-8b-instant,A,A
professional_medicine_99,professional_medicine,Social Science,B,llama-3.1-8b-instant,A,A
professional_psychology_100,professional_psychology,Social Science,B,llama-3.1-8b-instant,A,A
world_religions_107,world_religions,Humanities,D,llama-3.1-8b-instant,A,A
anatomy_5,anatomy,STEM,B,openai/gpt-oss-120b,C,C
high_school_mathematics_74,high_school_mathematics,STEM,D,openai/gpt-oss-120b,B,B
high_school_physics_77,high_school_physics,STEM,A,openai/gpt-oss-120b,B,B
high_school_physics_79,high_school_physics,STEM,A,openai/gpt-oss-120b,C,C
professional_law_92,professional_law,Social Science,D,openai/gpt-oss-120b,A,A
